,textID,text,selected_text,sentiment
10156,7bd9d19610,Hanging with  for the weekend,Hanging with  for the weekend,neutral
10157,e75dbb8b27,"can't wait to be at home again.. let the sun shine and warm my frozen bones, please!","can't wait to be at home again.. let the sun shine and warm my frozen bones, please!",neutral
10159,3ecad96249," Thanks!  Unfortunately the EU had probs with his satellite provider, so even though his TV LOOKS great, it's basically useless","Thanks!  Unfortunately the EU had probs with his satellite provider, so even though his TV LOOKS great, it's basically useless",neutral
10162,303b1cad71,Really!,Really!,neutral
10163,c81e21ffd8, yea so wassup,yea so wassup,neutral
10165,60c7368394,"Ok, ahhh! Last chance to go into school before chemistry exam!!","Ok, ahhh! Last chance to go into school before chemistry exam!!",neutral
10174,cc443795be,Sick  Right now very thankful for my chicken soup and my bed!,Sick,neutral
10181,026b1deb59,"Prolly going to Jamba Juice in thirty minutes , shop for awhile then hit the airport and see my daddddd.","Prolly going to Jamba Juice in thirty minutes , shop for awhile then hit the airport and see my daddddd.",neutral
10184,8aaa99ca44, it's been hectiv runny around after the women but goof  just making them both a surprise now,it's been hectiv runny around after the women but goof  just making them both a surprise now,neutral
10186,efbce33d51, i foot think it will let you since it.s international  but we have twitter haha,i foot think it will let you since it.s international  but we have twitter haha,neutral
10187,bfdc477f0d,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more","I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",neutral
10195,8e7c69d8da,I saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. By the time I turned around she was gone... no picture,I saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. By the time I turned around she was gone... no picture,neutral
10198,12c28b4d30,wheelchair fitting today for mall buzzing &amp; Home Depot. &quot;Homebound&quot; just got REAL old  Goal: taxi yellow or electric RED!,wheelchair fitting today for mall buzzing &amp; Home Depot. &quot;Homebound&quot; just got REAL old  Goal: taxi yellow or,neutral
10199,f8201d31ee,Same old customer service team member,Same old customer service team member,neutral
10200,a734378195,last #ff  _Diesel    _Web_Design     ,last #ff  _Diesel    _Web_Desig,neutral
10202,e240ad6f2f,nothings really going *well*...however currently theres nothing else to look forward to so may aswel make the best of it,nothings really going *well*...however currently theres nothing else to look forward to so may aswel make the best of it,neutral
10203,a93e1ffc84,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,neutral
10207,1edee3e796, Hey we were at Tallebudgera Creek at 5pm.....visiting Anita's special tree........could have almost bumped into you,Hey we were at Tallebudgera Creek at 5pm.....visiting Anita's special tree........could have almost bumped into you,neutral
10209,39676fd902," you're fine - trying to kill off the bots and retweets in a bid to be the least popular person on Twitter. Btw, who are you ??","you're fine - trying to kill off the bots and retweets in a bid to be the least popular person on Twitter. Btw, who are you ??",neutral
10214,d12148ecc8,   I need a wardrobe intervention,I need a wardrobe interventio,neutral
10215,6711eacdd3,is putting on her &quot;suit&quot; (&amp;dont mean jeans&amp;T)&amp;Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us  BE back by 630P God willing!,is putting on her &quot;suit&quot; (&amp;dont mean jeans&amp;T)&amp;Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us  BE back,neutral
10216,3eacf9d5bc,Can't sleep rite now because of havin' so much tea!!! 2nite I've just failed the test of my Lpi course   Next week i'll make it better!,Can't sleep rite now because of havin' so much tea!!! 2nite I've just failed the test of my Lpi course   Next week i'll make it better!,neutral
10220,d9fdc463f9,"so disappointed with human kind   &quot;What's wrong with the world?&quot;  I have five girls in the garden, innocently enjoying the good weather...","so disappointed with human kind   &quot;What's wrong with the world?&quot;  I have five girls in the garden, innocently enjoying the good",neutral
10225,9655954dee,fighting again,fighting again,neutral
10227,fe8432ab8d,Spongebob sing a long. Amandas mom gave me and crystal jonas brothers calendars,Spongebob sing a long. Amandas mom gave me and crystal jonas brothers calendars,neutral
10231,08cd174cde, I wasn't near him.,I wasn't near him.,neutral
10232,05d9c5897e,has no people skills.,has no people skills.,neutral
10237,8d7c534b72," you too!  Cloudy day here in Madrid, typical Spring day","you too!  Cloudy day here in Madrid, typical Spring day",neutral
10238,ad0fa9484e, didn't know you were on twitter! Coming to the show tomorrow?? Lorraine can't make it,didn't know you were on twitter! Coming to the show tomorrow?? Lorraine can't make it,neutral
10239,ec38c9863d,_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral
10242,7e86fc2361,My tweet is on cheaptweet.  You wanna vote for me  http://cheaptweet.com/t/syopvd,My tweet is on cheaptweet.  You wanna vote for me  http://cheaptweet.com/t/syopvd,neutral
10247,6648cd4a3c, i widddd but i'll be on a bus to london    &amp; also,i widddd but i'll be on a bus to london    &amp;,neutral
10248,0cafff451c,"  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger","Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger",neutral
10252,a3527a3ccc,"J, sorry about the bad night, hopefully my workout updates gave you a little humor in your night..","J, sorry about the bad night, hopefully my workout updates gave you a little humor in your night..",neutral
10253,c6d1f52386,hahaha. tea at grandma's was sweat. yep.,hahaha. tea at grandma's was sweat. yep.,neutral
10254,efcc48d045, And you!,And you!,neutral
10256,d7dff2ead4,Jennnnnn richhhh wast to the ed,Jennnnnn richhhh wast to the ed,neutral
10261,3475c410b1,Yay! The playdate is back on but my van's transmission is  dead,Yay! The playdate is back on but my van's transmission is  dead,neutral
10262,889cf88e54,I'm new on Twitter.....Hi everybody!!! Suggestions for me???,I'm new on Twitter.....Hi everybody!!! Suggestions for me???,neutral
10267,abad92a959," Since obviously living in Alaska, only a few radio stations we get here.","Since obviously living in Alaska, only a few radio stations we get here.",neutral
10268,2b2c1388e6,hee hallo ,hee hallo,neutral
10271,ab56a23211,Woke up early!! Dang man I know i'm not going back to sleep,Woke up early!! Dang man I know i'm not going back to sleep,neutral
10272,20c5e069dd,_Carroll i want a marty mcflyy t-shirt.,i want a marty mcflyy t-shirt.,neutral
10273,85dcce2756,is thinking what song to use for the next chilled edition video!,is thinking what song to use for the next chilled edition video!,neutral
10274,776afa70a4,? ? ? You can't be 29...on Sugar Mountain...(or so people tell me...)  ? ? ?,? ? ? You can't be 29...on Sugar Mountain...(or so people tell me...)  ? ? ?,neutral
10281,fff983ef6b,well its hot as heck right now,well its hot as heck right now,neutral
10284,bd06936601,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,neutral
10287,42ae274b9b,"Has roughly cleaned his room, and now is heading to Pablos to read","Has roughly cleaned his room, and now is heading to Pablos to read",neutral
10290,b7d1228a69, YOU SHOULD TOUR!! *lol* I live all the way out in Tennessee! :-P jk. How would you do that?,YOU SHOULD TOUR!! *lol* I live all the way out in Tennessee! :-P jk. How would you do that?,neutral
10292,9b561de7da,"_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x","_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x",neutral
10293,1c03bd563c,http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!,http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!,neutral
10296,f1a5dfb54e,Got Six Feet Under series 1 on DVD,Got Six Feet Under series 1 on DVD,neutral
10297,dfb74a3581,first time in weeks to see the clear blue sky,first time in weeks to see the clear blue sky,neutral
10299,9cd1cecf07,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,neutral
10300,678cddf365, is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,neutral
10303,aba25eb3f5,sitting at home doing nothing. gonna be like this all weekend,sitting at home doing nothing. gonna be like this all weekend,neutral
10304,cae2838021, will have to pare down his collection of portraits of  and bangbang,will have to pare down his collection of portraits of  and bangbang,neutral
10310,9ebdfb81c7, lol takes some getting use to  Just replying to your email. Power keeps cutting out here :S,lol takes some getting use to  Just replying to your email. Power keeps cutting out here :S,neutral
10313,d1a70cb621,  I should be doing history.....,I should be doing history.....,neutral
10318,85537b6837, i was right about the wave off,i was right about the wave off,neutral
10320,e520773f6c,check on ya'll in a bit. im in for a Mother's day haircut. ciao!...,check on ya'll in a bit. im in for a Mother's day haircut. ciao!...,neutral
10321,e6a8675ba5,_WOCKEEZ i wish i can go. But i'm not in US,i wish i can go. But i'm not in US,neutral
10328,b42990837b, oh no  this week is just a bad one for everyone. i love you &amp; your pretty face &amp; youre going to do fantastic in concert tonight,oh no  this week is just a bad one for everyone. i love you &amp; your pretty face &amp; youre going to do fantastic in concert,neutral
10332,d5e6ee0171,"_hong  Oh yeah, just came back from a weekend of cosplay photo marathons","_hong  Oh yeah, just came back from a weekend of cosplay photo marathons",neutral
10337,f022026982,Hi there all! Can't stay to long have to go to work soon,Hi there all! Can't stay to long have to go to work soon,neutral
10339,d0db1353bd,"If all goes according to plan, you CSE RFID guinea pigs should have a **** FF extension to play with by the end of this week","If all goes according to plan, you CSE RFID guinea pigs should have a **** FF extension to play with by the end of this week",neutral
10342,3c35eae9d4,_zwitschert There's supposed to be a &lt;3 at the end of my last tweet but I guess twitter ate it,_zwitschert There's supposed to be a &lt;3 at the end of my last tweet but I guess twitter ate,neutral
10347,07b727b996,_Kill_Boy That would be really great....except im not allowed to talk to boys on the phone  long story...my fault,That would be really great....except im not allowed to talk to boys on the phone  long story...my fault,neutral
10349,3e8e75fce1,http://twitpic.com/4jcxr -  i meann look at what i just found lol,i meann look at what i just found lol,neutral
10350,1f8294cc21,  lol he does love spahkly gold things....,lol he does love spahkly gold things..,neutral
10351,403de7b333, I break some rules and don't take tension for them  .....,I break some rules and don't take tension for them,neutral
10353,0cd3ccb71b,ahhhh now i have no pic,ahhhh now i have no pic,neutral
10357,5c850058a4,"the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ...","the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ...",neutral
10359,ad901bf524,Exploring Twitter's world! me 2,Exploring Twitter's world! me 2,neutral
10363,f3759e574a,I need new socks,I need new socks,neutral
10364,e73e7f9815,Sang on xbox lips and drunk beer my weekend rocks so far,Sang on xbox lips and drunk beer my weekend rocks so far,neutral
10365,1833176869,thank you  (: cant wait!!!! ummm btw ima crash still sick,thank you  (: cant wait!!!! ummm btw ima crash still sick,neutral
10368,931bd258ae,booo Dario let TK get a hair cut,booo Dario let TK get a hair cut,neutral
10369,ca1a5db60b, dude. letters are the new currency. i think we're rich!,dude. letters are the new currency. i think we're rich!,neutral
10370,977dcb08e9,"YAWN! Ow, caught a cramp  maybe I should take a nap","YAWN! Ow, caught a cramp  maybe I should take a nap",neutral
10371,2b69b98ee6," No, I'm in the US for the weekend not the UK","No, I'm in the US for the weekend not the UK",neutral
10372,b39e9d2e2d, Appending the #verticalchinese hash tag is a nice touch.,Appending the #verticalchinese hash tag is a nice touch.,neutral
10374,774ab03f35," I don;t know how they interact. I'm getting better with the pain, though. I want to give my poor liver a break.","I'm getting better with the pain, though. I want to give my poor liver a break.",neutral
10377,7c12154b19,Got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. Hoping it isn't an infection. I need more powerful anti-itch cream.,Got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. Hoping it isn't an infection. I need more powerful anti-itch,neutral
10382,5f8d4f3abc,HMV opens in half an our...better go get ready,HMV opens in half an our...better go get ready,neutral
10383,6d096def36, hav a pork scratching,hav a pork scratching,neutral
10384,d2905a1a74," Raining in Belfast too - and I promised myself I would clean my windows today.  Back to bed, then!","Raining in Belfast too - and I promised myself I would clean my windows today.  Back to bed, then!",neutral
10385,23702ded88,time to get ready for work,time to get ready for work,neutral
10394,92c20f3df7,"Mary, Are you not receiving my texts????","Mary, Are you not receiving my texts????",neutral
10396,bf6e5fdc43,is at the beach watching Xmen Origins and drinking orange juice with no pulp,is at the beach watching Xmen Origins and drinking orange juice with no pulp,neutral
10402,27db1a70ac, yes i did - as a thank you. have contacted them 2ce but no response,yes i did - as a thank you. have contacted them 2ce but no response,neutral
10404,89b8dd5a43, .. did you have to bust a cap? tell me you had to bust a cap for Jesus!,.. did you have to bust a cap? tell me you had to bust a cap for Jesus!,neutral
10408,3e6150f210, that's dope!  stay out of trouble,that's dope!  stay out of trouble,neutral
10409,1f1e8040cb, did you watch it?,did you watch it?,neutral
10417,c3e9745d8d, so how have you been doing ?,so how have you been doing ?,neutral
10420,8efb94fa36, Nope  day off;,Nope  day off;,neutral
10422,8891e37f34, But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account,neutral
10423,263460b27b, company policy. Has been for the last two places I've worked at,company policy. Has been for the last two places I've worked at,neutral
10424,a14e389a90," -i'd love to be able to bike/bus/walk to work, but it isn't safe in my area","-i'd love to be able to bike/bus/walk to work, but it isn't safe in my area",neutral
10429,133a3a86df,"No profile pic or bio, few or no updates, lots of following and no followers! Zap! Pow! Block! Annoying but strangely satisfying!",Annoying but strangely satisfying!,neutral
10430,887afb0d2f," unfortunately I know I would like them - which is why I am avoiding them,","unfortunately I know I would like them - which is why I am avoiding them,",neutral
10434,a3680241ef,is up for lots of revision today and then out toniight,is up for lots of revision today and then out toniight,neutral
10435,1d83310700,Daughter has a 45 min orthodontist appt and I forgot my ebook reader,Daughter has a 45 min orthodontist appt and I forgot my ebook reader,neutral
10436,c05123a42f, Alternatively you could spend the afternoon reading &quot;Pride and Prejudice and Zombies&quot;,Alternatively you could spend the afternoon reading &quot;Pride and Prejudice and Zomb,neutral
10439,0930c7730c,"standing here open hands and i know i can't do this alone hold on, hold on, baby, hold on...geeez","standing here open hands and i know i can't do this alone hold on, hold on, baby, hold on...geeez",neutral
10447,c41b7823f5,rainy season-- here it comes!,rainy season-- here it comes!,neutral
10449,8d194c4e53,_INTHEMAKING :aw,aw,neutral
10450,4e8b4d99c1, wow thats impressive! luckily im not in rush but i feel for friends who aren't getting any younger but cant move house  tricky,wow thats impressive! luckily im not in rush but i feel for friends who aren't getting any younger but cant move house  tricky,neutral
10458,892d6de8e4,wants everyone to know he's off to watch Cypher... again,wants everyone to know he's off to watch Cypher... again,neutral
10464,9c1b670a75,So.. finally finished setting up my  account. Will switch from  during this week,So.. finally finished setting up my  account. Will switch from  during this week,neutral
10465,31da2314f4, i couldn't eat all my nuggets  finish them for me.,i couldn't eat all my nuggets  finish them for me.,neutral
10470,1b1bb60772," they are, aren't they.","they are, aren't they.",neutral
10471,4a2f256641, Does this happen every monday?,Does this happen every monday?,neutral
10473,76596343b6,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,neutral
10476,482a27ec9b,the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,apparently its nothing! fewfffff! bloodtests suck...  haha,neutral
10477,9d15a606c2, You're gonna wear pink outfits??? I assume she bought it for you,You're gonna wear pink outfits??? I assume she bought it for you,neutral
10486,7fa3e5eb1a, hi Add me.  it's shannen,hi Add me.  it's shannen,neutral
10489,3ff86e491c,Microsoft Announced Windows 7 Release Candidate. Download available tomorrow,Microsoft Announced Windows 7 Release Candidate. Download available tomorrow,neutral
10490,918a4ceb32," yep, itï¿½s Mothers Day here as well but me and my family ignore it!  weï¿½re celebrating it EVERY day ... LOL","yep, itï¿½s Mothers Day here as well but me and my family ignore it!  weï¿½re celebrating it EVERY day ... LOL",neutral
10492,e332f80a53,Moment of truth!! Im nervous for her!,Moment of truth!! Im nervous for her!,neutral
10499,7fa35cd923,i have nothing to do,i have nothing to do,neutral
10501,755e26b1b0, Sleeping in for me is sleeping until 8am  But you know I have 3 kids ....,Sleeping in for me is sleeping until 8am  But you know I have 3 kids ....,neutral
10505,cc1e5cf079, want me to walk with you?  x,want me to walk with you?  x,neutral
10506,851520f2a8,Through the Fire and Flames - Dragonforce,Through the Fire and Flames - Dragonforce,neutral
10516,82b1b58932,"..the weather may makes it, cause temp fell down to 15C from 30C which were yesterday  ...","..the weather may makes it, cause temp fell down to 15C from 30C which were yesterday  ...",neutral
10517,d74c09c180, part 2: social networking??.. there is even room for people,part 2: social networking??.. there is even room for people,neutral
10518,2545a3cd3b, South Philly - Passyunk Square Area! Closer to two street.,South Philly - Passyunk Square Area! Closer to two street.,neutral
10520,17b920af1c,can't believe I'm leaving this place tomorrow.,can't believe I'm leaving this place tomorrow.,neutral
10521,3fd07a6b6d,almost 100 cases of swine in australia. hope may still decides to come visits me,almost 100 cases of swine in australia. hope may still decides to come visits me,neutral
10526,4f45d9a670," It's pretty good, actually! A few lame episodes, but otherwise good. Give it a try!","It's pretty good, actually! A few lame episodes, but otherwise good. Give it a try!",neutral
10527,bf11629f0a," specifically, like these  http://i36.tinypic.com/mwz6uo.jpg (also i adore this outfit http://tinyurl.com/q63obq yum)","specifically, like these  http://i36.tinypic.com/mwz6uo.jpg (also i adore this outfit http://tinyurl.com/q63obq yum)",neutral
10529,63f3f867bb, whoa rad ! coffee makes me stay up all night,whoa rad ! coffee makes me stay up all night,neutral
10530,dd030f0698, what kind of food Celli? I'm following you now,what kind of food Celli? I'm following you now,neutral
10531,605751edec,"Law and Order! Yeah, I stay home on Sat nite!","Law and Order! Yeah, I stay home on Sat nite!",neutral
10532,d706768cb8,ready to go to Milan  see ya'll this evening..,ready to go to Milan  see ya'll this evening..,neutral
10535,de3c4f3168, I aint blanco either..Yo 100% Puerto Rican mami....yo show muy amor yi tu...but yo no se...,I aint blanco either..Yo 100% Puerto Rican mami....yo show muy amor yi tu...but yo no se...,neutral
10540,67a620edc9,_assassin  sucks about your cat... hope you guys feel better,sucks about your cat... hope you guys feel better,neutral
10543,5931a8cc5e," Hey OJ, I just want to ask, you hooked up with somebody ayt now?","Hey OJ, I just want to ask, you hooked up with somebody ayt now?",neutral
10544,fcc9e4ec6f, what time is our conference call??,what time is our conference call??,neutral
10545,aea870d68c,"i didn't wake up early enough to go roller blading  contrary to a tributary, i flow endlessly","i didn't wake up early enough to go roller blading  contrary to a tributary, i flow endlessly",neutral
10546,d091dd19f7," ill call you on my home phone to your home phone    after dinner tho! coz im almost ready to eat, is that ok? ****","ill call you on my home phone to your home phone    after dinner tho! coz im almost ready to eat, is that ok?",neutral
10548,4015d59826, we want ot protect Moleskineï¿½ notebooks worldwide. That is all.,we want ot protect Moleskineï¿½ notebooks worldwide. That is all.,neutral
10550,0a9cdef8fb, How do you spell ppphhhhhttttt?,How do you spell ppphhhhhttttt?,neutral
10552,07d987dcb2, It didn't rain.  Lightly misted though.,It didn't rain.  Lightly misted though.,neutral
10554,ba70d3346a, Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball,Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball,neutral
10555,e57c69be7a, Looking forward to android 1.5 being pushed to the G1 then?,Looking forward to android 1.5 being pushed to the G1 then?,neutral
10557,91c8163fc4,gooooodnight  i fully gave up on my english. pride and prejudice. love the movie HATE the book ;),gooooodnight  i fully gave up on my english. pride and prejudice. love the movie HATE the book ;),neutral
10558,b1dd0880a8,"Please remember you need a helmet for the bike asap, talk to you later ok hope your head not to bad","Please remember you need a helmet for the bike asap, talk to you later ok hope your head not to bad",neutral
10566,f7793c949e, no go on the bro down tonight for brett,no go on the bro down tonight for brett,neutral
10567,7a6ff70517, I heard that you can't make it!!,I heard that you can't make it!!,neutral
10568,c628741a80, Thank you   I've had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,Thank you   I've had anxiety issues,neutral
10577,58a81f4303,nov 5th,nov 5th,neutral
10580,cf60186f77,"I've come close to astroturf myself, . Save yr $$ - it doesn't drain. Just spray paint yr yard green instead","I've come close to astroturf myself, . Save yr $$ - it doesn't drain. Just spray paint yr yard green instead",neutral
10582,f21fb7a773,Just got home from the BEA &amp; it was kinda boring (2 me) this year  but hung out with some GREAT authors &amp; co-workers!,Just got home from the BEA &amp; it was kinda boring (2 me) this year  but hung out with some GREAT authors &amp; co-w,neutral
10583,2ab3eaaa46,Sucky day so far hope it gets better,Sucky day so far hope it gets better,neutral
10585,e145f04c31, D= indeed,D= indeed,neutral
10587,f8c1ff9b6e," You arent following me, so i cant send you a DM..","You arent following me, so i cant send you a DM..",neutral
10589,17e6c97023, what? You won't be two blocks away any more?,what? You won't be two blocks away any more?,neutral
10590,393519d754, flipping between the race and the nba playoffs.  Pulling for dale jr and 'bron 'bron....,flipping between the race and the nba playoffs.  Pulling for dale jr and 'bron 'bron....,neutral
10593,f0c1601d8b,  has tickets.......?,has tickets.......?,neutral
10594,955c914a99,"Well, there goes *that* shirt. Haha","Well, there goes *that* shirt. Haha",neutral
10595,2335e74aa1,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,neutral
10596,ddc170fe0a,Just found out my baby cousin is gonna be a dad!!!! At least he's married already. Everybody is getting married and having kids before me,Just found out my baby cousin is gonna be a dad!!!! At least he's married already. Everybody is getting married and having kids before me,neutral
10597,0852a01c79, Someone hardcoded 650mb into my brain back in the 90s,Someone hardcoded 650mb into my brain back in the 90s,neutral
10602,a82d583e9a, its brokey,its brokey,neutral
10603,1f6b45f551,", oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",", oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",neutral
10605,fc3ed28c22,Almost lunch time,Almost lunch time,neutral
10607,7d6d750549, OH NO....do you think he's lived out his lifespan?,OH NO....do you think he's lived out his lifespan?,neutral
10608,7eccf13f04, I know. But it won't be the same,I know. But it won't be the same,neutral
10613,62840e7aa9,Just got back from the doctor... I don't need surgery yayyy!!!!!! But my knees are still ****  not gonna get better,Just got back from the doctor... I don't need surgery yayyy!!!!!! But my knees are still ****  not gonna get better,neutral
10615,92d4e5b85a,Ok so this shower has been calling my name for about an hour I think I'll indulge &amp; respond now while I allow Robin Thicke to serenade me,Ok so this shower has been calling my name for about an hour I think I'll indulge &amp; respond now while I allow Robin Thicke to serenade,neutral
10619,b1fb93dee6,aww only 15minutes left of family guy,aww only 15minutes left of family guy,neutral
10620,477d127d05,Attending Matthew's Senior Day for recognition and I'm so not ready for this.,Attending Matthew's Senior Day for recognition and I'm so not ready for this.,neutral
10624,49a3b7288b, I'm glad/sad that it's not just me/my iPhone  #badoptus,I'm glad/sad that it's not just me/my iPhone  #badoptus,neutral
10625,3cb7fed999,  hi kendra whats up? follow me,hi kendra whats up? follow me,neutral
10631,2aff0dfbff,Homey missed da bus.,Homey missed da bus.,neutral
10633,a7a6311197, Or a wonderful talking alarm call from I-Phone or Bed side Alarm call! I can just imagine the wake up messages lol,Or a wonderful talking alarm call from I-Phone or Bed side Alarm call! I can just imagine the wake up messages lol,neutral
10634,846e092fd8,"_idiots hahaha! I don't work in a **** you know  alrighty mister, have YOU done any public may dancing today?","_idiots hahaha! I don't work in a **** you know  alrighty mister, have YOU done any public may dancing today?",neutral
10637,00efeec9d3,but i thought 'summer hours' meant i was supposed to get to go home at 4.....,but i thought 'summer hours' meant i was supposed to get to go home at 4.....,neutral
10638,4f9167c337,I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,neutral
10642,301274be80,my hubby is staying for one more week in Uzbekistan,my hubby is staying for one more week in Uzbekistan,neutral
10643,c0d71a8db6, not playing here either,not playing here either,neutral
10644,29a4bb11d9,"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home",I would like to boot from that. I wonder if I left it at home,neutral
10646,2337674f00, So what does that make a queef,So what does that make a queef,neutral
10649,4130245871,_Aries Me and that person have something in common then! LOL jk....,Me and that person have something in common then! LOL jk....,neutral
10650,3e1aeefa4f,watching keeping up with the kardashian on youtube,watching keeping up with the kardashian on youtube,neutral
10651,88f9e4678a, Gratiss,Gratiss,neutral
10653,c083c2a052,Maitreya for Bobby's bday!  Yay,Maitreya for Bobby's bday!  Yay,neutral
10659,184784f005,yey finally home,yey finally home,neutral
10664,49e758d4d9,"dont worry baby i'll eat sum cake for the both of us , i'll hit u up wen i get back. bye, dont eat too much at home","dont worry baby i'll eat sum cake for the both of us , i'll hit u up wen i get back. bye, dont eat too much at home",neutral
10666,3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,neutral
10668,4efae3a380, i know its awful  but never fear i've got loads of funds so we can have a drunken catch up post-exams ja?,i know its awful  but never fear i've got loads of funds so we can have a drunken catch up post-exams ja?,neutral
10671,b3fc96bd2e," he's not **** Lol. He's a riot definitely, but not at nkotb concert. I want 2b a smitten girl with no distractions that night","he's not **** Lol. He's a riot definitely, but not at nkotb concert. I want 2b a smitten girl with no distractions that night",neutral
10672,ff77c7e915," Yeah--those pants are horrible!  Yeah--my wife loves the job.  She loves performing and kids, so it's a good environment.","Yeah--those pants are horrible!  Yeah--my wife loves the job.  She loves performing and kids, so it's a good environment",neutral
10673,f7907897b8," I think if I was Kirk, I would have probably stolen that sweet ride from you too.  Fancy in car phone ya talk through GG.","I think if I was Kirk, I would have probably stolen that sweet ride from you too.  Fancy in car phone ya talk through GG.",neutral
10674,5754023a59,In London! Off to do the tourist thing!,In London! Off to do the tourist thing!,neutral
10677,71349d51ef,  are you having a bad day?,are you having a bad day?,neutral
10678,5c1b4196fb,_ that is not even a question. when/when is the question,_ that is not even a question. when/when is the question,neutral
10682,cdb40ecdae,"gotta get used to pocketwit now, **** you twikini","gotta get used to pocketwit now, **** you twikini",neutral
10685,ae5a3d25eb,Spending Mother's Day with Mom.,Spending Mother's Day with Mom.,neutral
10688,e0547795f4," **** YEAH DUDE!!! I would ask how it was, but I already **** know!  How're you?","**** YEAH DUDE!!! I would ask how it was, but I already **** know!  How're you?",neutral
10692,67ae9cad7f,Cats: unimpressed by thunderstorm. Dog: wishes  would come home,Cats: unimpressed by thunderstorm. Dog: wishes  would come home,neutral
10694,28b7b971ff,1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA,1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA,neutral
10696,48377c4bef," praying to be humble is always dangerous, He will answer you  (God gives grace ...)","praying to be humble is always dangerous, He will answer you  (God gives grace ...)",neutral
10697,f538b035ae," made me want taco bell, **** you sara! oh well now i'm going to go change into my jammies now.","made me want taco bell, **** you sara! oh well now i'm going to go change into my jammies now.",neutral
10698,a4ede54987,it's the weekend but 9 year old is grounded which makes me grounded too,it's the weekend but 9 year old is grounded which makes me grounded too,neutral
10702,ac11aebbe7," actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?","actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?",neutral
10709,e5cc43e0dd,Thinking about someone. Now a days I think more and code less  What is it...?,Thinking about someone. Now a days I think more and code less  What is it...?,neutral
10710,6a0c150423,"the swine flu is in robina, gold coast","the swine flu is in robina, gold coast",neutral
10715,f80f212355, But he got to do it with Effy!,But he got to do it with Effy!,neutral
10716,b832265a8e,"I really, really want a golden retriever. Too bad I won't be living in a home where she could run around for about 10 years","I really, really want a golden retriever. Too bad I won't be living in a home where she could run around for about 10 years",neutral
10717,e1e0bbe9f5, aw it was so sad  shes too cute!,aw it was so sad  shes too cute!,neutral
10718,540380edae,The sun has gone in!,The sun has gone in!,neutral
